nohup: no se tendrá en cuenta la entrada
[22:56:23] (INFO) Dispositivo: cuda
[22:56:23] (INFO) Cargando datos desde em_caribe_20251201_20251231.parquet
[22:56:23] (INFO) Registros cargados: 16,368
[22:56:23] (INFO) Estaciones excluidas: ['0025025380', '0025025030', '0025025190', '0015015100'] (2,976 registros eliminados)
[22:56:23] (INFO) Numero de estaciones: 18
[22:56:23] (INFO) Proyectando coordenadas a cartesianas
[22:56:23] (INFO) Reestructurando datos para 18 estaciones
[22:56:23] (INFO) Filtrando 31 dias con intervalo 1
[22:56:23] (INFO) Aplicando correccion de presion ISA a nivel del mar
[22:56:23] (INFO) Preprocesamiento completado
[22:56:23] (INFO) Escalas: L=405198.17 m, W=10.80 m/s, P0=100972.78 Pa, Re=316,767,061,879
[22:56:23] (INFO) Centrando y normalizando datos de estaciones
[22:56:23] (INFO) Normalizacion completada
[22:56:23] (INFO) Construyendo malla PINN con R=0.4 grados
[22:56:23] (INFO) Malla: 44 puntos espaciales x 744 timesteps = 32,736 total
[22:56:23] (INFO) Modelo PINN: 15,890,409 parametros
[22:56:23] (INFO) Dispositivo: cuda
[22:56:23] (INFO) Epocas: 2,000, LR: 1.0e-04, Lambda max: 3.0
[22:56:23] (INFO) Curriculum: 0 solo datos, 0 rampa, 2000 lambda completo
[22:56:23] (INFO) P_scale (reescalado presion): 1.0000
[22:56:23] (INFO) Registros estaciones: 13,265
[22:56:23] (INFO) Registros colocacion: 32,736
[22:56:23] (INFO) Batch estaciones: 172
[22:56:23] (INFO) Batch colocacion: 423
[22:56:24] (INFO) Iniciando entrenamiento
[22:56:24] (INFO) Curriculum fase 1: solo datos (epocas 0--1)
[22:56:28] (INFO) Cambio de LR: 0.0e+00 -> 1.0e-04
[23:32:58] (INFO) | Epoca:  500 | Loss: 1.035e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:33:42] (INFO) | Epoca:  510 | Loss: 1.028e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:34:26] (INFO) | Epoca:  520 | Loss: 1.022e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:35:09] (INFO) | Epoca:  530 | Loss: 1.028e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:35:53] (INFO) | Epoca:  540 | Loss: 1.020e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:36:37] (INFO) | Epoca:  550 | Loss: 1.011e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:37:21] (INFO) | Epoca:  560 | Loss: 1.024e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:38:05] (INFO) | Epoca:  570 | Loss: 1.008e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:38:49] (INFO) | Epoca:  580 | Loss: 1.009e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:39:33] (INFO) | Epoca:  590 | Loss: 9.920e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:40:17] (INFO) | Epoca:  600 | Loss: 1.001e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:41:01] (INFO) | Epoca:  610 | Loss: 9.977e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:41:44] (INFO) | Epoca:  620 | Loss: 9.982e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:42:28] (INFO) | Epoca:  630 | Loss: 1.001e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:43:13] (INFO) | Epoca:  640 | Loss: 1.007e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[23:43:57] (INFO) | Epoca:  650 | Loss: 9.831e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:44:41] (INFO) | Epoca:  660 | Loss: 9.881e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:45:25] (INFO) | Epoca:  670 | Loss: 9.970e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:46:09] (INFO) | Epoca:  680 | Loss: 9.936e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:46:53] (INFO) | Epoca:  690 | Loss: 9.858e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:47:37] (INFO) | Epoca:  700 | Loss: 9.836e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:48:21] (INFO) | Epoca:  710 | Loss: 9.834e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:49:05] (INFO) | Epoca:  720 | Loss: 9.762e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:49:48] (INFO) | Epoca:  730 | Loss: 9.759e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:50:32] (INFO) | Epoca:  740 | Loss: 9.766e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:51:16] (INFO) | Epoca:  750 | Loss: 9.732e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:52:00] (INFO) | Epoca:  760 | Loss: 9.916e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:52:44] (INFO) | Epoca:  770 | Loss: 9.619e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:53:27] (INFO) | Epoca:  780 | Loss: 9.700e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:54:11] (INFO) | Epoca:  790 | Loss: 9.639e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:54:55] (INFO) | Epoca:  800 | Loss: 9.634e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:55:39] (INFO) | Epoca:  810 | Loss: 9.779e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:56:23] (INFO) | Epoca:  820 | Loss: 9.665e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:57:07] (INFO) | Epoca:  830 | Loss: 9.667e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:57:51] (INFO) | Epoca:  840 | Loss: 9.611e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:58:35] (INFO) | Epoca:  850 | Loss: 9.597e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[23:59:19] (INFO) | Epoca:  860 | Loss: 9.597e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[00:00:02] (INFO) | Epoca:  870 | Loss: 9.638e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[00:00:46] (INFO) | Epoca:  880 | Loss: 9.562e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[00:01:30] (INFO) | Epoca:  890 | Loss: 9.788e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[00:02:14] (INFO) | Epoca:  900 | Loss: 9.783e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[00:02:58] (INFO) | Epoca:  910 | Loss: 9.823e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[00:03:42] (INFO) | Epoca:  920 | Loss: 9.845e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[00:04:26] (INFO) | Epoca:  930 | Loss: 9.666e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[00:05:09] (INFO) | Epoca:  940 | Loss: 9.683e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[00:05:54] (INFO) | Epoca:  950 | Loss: 9.593e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[00:06:37] (INFO) | Epoca:  960 | Loss: 9.584e-01 | LR: 3.2e-05 | Lambda: 3.00 |
[00:07:21] (INFO) | Epoca:  970 | Loss: 1.007e+00 | LR: 3.2e-05 | Lambda: 3.00 |
[00:07:47] (INFO) Cambio de LR: 3.2e-05 -> 1.0e-05
